card,n_terms,train_auc,test_auc,train_acc,test_acc,intercept,multiplier
17,5,0.7499309125075996,0.7704462111549165,0.9667487684729064,0.9682103610675039,-12,2.84802600458736
26,5,0.7480914580224396,0.7671239660636981,0.9667487684729064,0.9682103610675039,-12,2.838350418961369
08,5,0.7388354612280993,0.7657216295609153,0.9665024630541872,0.9680141287284144,-11,2.7468396841711122
46,5,0.7554777745536949,0.7558376333487941,0.9635467980295567,0.967032967032967,-12,2.937863946375394
24,5,0.729040581993036,0.7523015953540506,0.9667487684729064,0.9682103610675039,-7,1.745100551791368
22,5,0.7291001699552313,0.7519325912183055,0.9667487684729064,0.9682103610675039,-10,2.495554214407011
27,5,0.7292392085336872,0.7518649505256647,0.9667487684729064,0.9682103610675039,-13,3.1940859749233743
20,5,0.7521546661692368,0.7515931798855906,0.9665024630541872,0.9658555729984302,-9,2.178538943622187
29,5,0.7286001492289836,0.7513522099180581,0.9667487684729064,0.9682103610675039,-7,1.7475236311516855
34,4,0.7285466064223733,0.7513147659632033,0.9667487684729064,0.9682103610675039,-11,2.695148711989071
28,5,0.7286001492289836,0.7513147659632033,0.9667487684729064,0.9682103610675039,-11,1.747523631151687
33,5,0.7457493920300668,0.750745255488559,0.9667487684729064,0.9682103610675039,-12,2.8493195264426774
32,5,0.7568716147128723,0.7500567698670376,0.9657635467980296,0.9672291993720565,-9,2.2550150911707743
23,5,0.7318964862101366,0.7467586821660482,0.9667487684729064,0.9684065934065934,-6,1.5168563387580525
25,5,0.7525268750345439,0.7452355587121211,0.9657635467980296,0.9654631083202512,-7,1.674464097426831
47,5,0.7441733336096833,0.7441829004329006,0.9635467980295567,0.967032967032967,-7,1.76449850982276
30,5,0.7449436591499474,0.7440083632884971,0.9667487684729064,0.9682103610675039,-10,2.387508535274171
18,5,0.7394356588183275,0.7424043125773035,0.9650246305418719,0.9680141287284144,-13,3.341564322501983
50,5,0.7373492165478361,0.7423402954931971,0.9635467980295567,0.967032967032967,-8,1.9934648419964005
49,4,0.7372887649919858,0.742293188582251,0.9635467980295567,0.967032967032967,-13,3.255704210051319
51,5,0.7373492165478361,0.742293188582251,0.9635467980295567,0.967032967032967,-12,1.993464841996403
12,5,0.7394719297518377,0.7421887078695114,0.9652709359605911,0.9658555729984302,-8,2.0098500003020696
09,5,0.746893653622948,0.7420848310915275,0.9660098522167487,0.9672291993720565,-11,2.794038814055526
31,5,0.7392206239982313,0.7419531733147804,0.9642857142857143,0.967032967032967,-4,1.0
03,5,0.7412500690874924,0.7414561350108225,0.9665024630541872,0.9658555729984302,-9,2.231028994514631
11,5,0.7371635439120101,0.7406045870052566,0.9665024630541872,0.9680141287284144,-12,3.0788298523177766
01,5,0.7419357624495662,0.7403177179962894,0.9665024630541872,0.9680141287284144,-14,2.83452871086558
02,5,0.7419357624495662,0.7403177179962894,0.9665024630541872,0.9680141287284144,-11,2.8346800745008487
19,5,0.7370003247112142,0.7393562538651823,0.9665024630541872,0.9680141287284144,-12,3.119322891615604
21,5,0.7367101572431326,0.7391032052025355,0.9667487684729064,0.967032967032967,-8,2.027531312089132
48,5,0.7536391836621898,0.7388815611471861,0.9635467980295567,0.967032967032967,-12,2.9881739859745835
35,5,0.7362325899519151,0.7382305194805193,0.9665024630541872,0.9680141287284144,-13,2.025439817807335
36,5,0.7361643660531696,0.73800464788188,0.9660098522167487,0.9656593406593407,-8,2.0254398178073316
37,4,0.7361039144973193,0.7379581449056896,0.9660098522167487,0.9656593406593407,-8,2.075729387757531
13,5,0.7406792336815342,0.7360835314239331,0.9660098522167487,0.9658555729984302,-5,1.2875129605910045
42,5,0.7541530218869177,0.7314277983920839,0.9657635467980296,0.9654631083202512,-10,2.507009542589888
39,5,0.734384499530205,0.725508029916512,0.9657635467980296,0.9654631083202512,-9,2.358595739797857
41,5,0.7342480517327143,0.7245749507189241,0.9657635467980296,0.9654631083202512,-9,2.3164022971557374
40,5,0.7333136433979992,0.7242590928416821,0.9657635467980296,0.9654631083202512,-7,1.8208758638193727
45,5,0.7331659688829935,0.723976451376005,0.9657635467980296,0.9654631083202512,-7,1.8551290261860436
43,4,0.733100335765213,0.7239227011827458,0.9657635467980296,0.9654631083202512,-10,2.5918931692271854
44,5,0.7331659688829935,0.7239227011827458,0.9657635467980296,0.9654631083202512,-11,1.8551290261860456
38,5,0.7384390717404521,0.7225390866573904,0.9657635467980296,0.9656593406593407,-6,1.559503720273874
07,5,0.7252226344442602,0.7222123579545454,0.9667487684729064,0.9682103610675039,-10,2.6237809211517495
10,5,0.7251051857071795,0.7218421459492889,0.9667487684729064,0.9682103610675039,-10,2.5746454571322492
14,4,0.7250620060244294,0.7216730442176871,0.9667487684729064,0.9682103610675039,-9,2.32773076300065
04,5,0.7279135922732548,0.7211494327844775,0.9660098522167487,0.9658555729984302,-4,1.038857891512027
05,5,0.7240766456640689,0.7205352311379098,0.9667487684729064,0.967032967032967,-11,2.879519146890574
16,5,0.7230601959321284,0.7201746820887446,0.9660098522167487,0.9656593406593407,-8,2.0823856196954846
15,5,0.7230601959321284,0.720119724025974,0.9660098522167487,0.9656593406593407,-13,2.082385619695488
06,5,0.7370512767368596,0.7172443906539888,0.9660098522167487,0.9672291993720565,-11,2.834087752301072
